map_uid;login;ubiname;team;position;round;total_points;score;checkpoints;end_match;time;
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"lDJF5swBQOyA-Xe7LLtZFA";"HeavTM";;"1";"1";"19";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"pGFZWSzLQmSN4RCM_OQlhQ";"Acide.";;"2";"1";"18";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"i8p8gYa5TMapnIvmvYflHA";"Walegen";;"3";"1";"17";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"lyY9GN__RQSzdvUBipKvMw";"squikeay.wp";;"4";"1";"16";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"tJhFwq1BQqOiJK-Tk35LTQ";"Acrose17";;"5";"1";"15";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"g_pHUMO0QvWc_6flTfUF8w";"Babzify";;"6";"1";"14";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"HvnBY5wLT8WpZpz5prn0Xg";"CUPaCAT_TM";;"7";"1";"13";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"cuUfpj2YRf2T-nu2gWJUdg";"Dantski";;"8";"1";"12";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"eUoobETZQnaDzkMcunurdA";"F9.Marius89";;"9";"1";"11";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"pRKvzOUWS0iUyFNKi27nQQ";"GibbonsterTM";;"10";"1";"10";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"sjtId3fEQGS73R-U0IEC9g";"Jaakaah";;"11";"1";"9";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"i6W8MyPFQp6AWLcFKoZx1w";"Monkey.TM";;"12";"1";"8";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"rijOh4tvTAW97AcPxIgfcA";"Nayko.TM";;"13";"1";"7";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"8hOxAJGpTVqRXb0cMbezbw";"Noiza.";;"14";"1";"6";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"KzrTzeAuRZyNFLNtRsLi_Q";"P3kingente";;"15";"1";"5";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"7AJp1S0ZQeupMQG4oRwnhA";"RandomTM-";;"16";"1";"4";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"2_K-XAMoRUGUMVWtUygEEA";"Seanywolf";;"17";"1";"3";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"7VeNdCHaTYWrce5EYn7Ckw";"SilentSamTM";;"18";"1";"2";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"2tuvKOe1Qpu_N4yMFBn89A";"That_Ski_Freak";;"19";"1";"1";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"-zEiJKBRQlCQhShsZcS7rA";"bozbez";;"20";"1";"0";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"bn2GhrXxSEOlFgESUCZ7tw";"Eria.TM";;"21";"1";"0";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"SXQD8ktQRCSJqbgdyzSmwA";"Lina_Kitty";;"22";"1";"0";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"W-I0PnAJS4uG49LafKKe9g";"N7xyz";;"23";"1";"0";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"_KRQeGumT9S8tjKacsvKBQ";"Speedself";;"24";"1";"0";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"lVsoxs1ZR5aAYBKMZhKLnw";"Thomas_Jean";;"25";"1";"0";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"zdXECAYCS6WwEF51TiXL5A";"xephyr.chris";;"26";"1";"0";"-1";;"0";"2022-11-05 21:29:28";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"lDJF5swBQOyA-Xe7LLtZFA";"HeavTM";;"1";"1";"19";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"pGFZWSzLQmSN4RCM_OQlhQ";"Acide.";;"2";"1";"18";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"i8p8gYa5TMapnIvmvYflHA";"Walegen";;"3";"1";"17";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"lyY9GN__RQSzdvUBipKvMw";"squikeay.wp";;"4";"1";"16";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"tJhFwq1BQqOiJK-Tk35LTQ";"Acrose17";;"5";"1";"15";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"g_pHUMO0QvWc_6flTfUF8w";"Babzify";;"6";"1";"14";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"HvnBY5wLT8WpZpz5prn0Xg";"CUPaCAT_TM";;"7";"1";"13";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"cuUfpj2YRf2T-nu2gWJUdg";"Dantski";;"8";"1";"12";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"eUoobETZQnaDzkMcunurdA";"F9.Marius89";;"9";"1";"11";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"pRKvzOUWS0iUyFNKi27nQQ";"GibbonsterTM";;"10";"1";"10";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"sjtId3fEQGS73R-U0IEC9g";"Jaakaah";;"11";"1";"9";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"i6W8MyPFQp6AWLcFKoZx1w";"Monkey.TM";;"12";"1";"8";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"rijOh4tvTAW97AcPxIgfcA";"Nayko.TM";;"13";"1";"7";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"8hOxAJGpTVqRXb0cMbezbw";"Noiza.";;"14";"1";"6";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"KzrTzeAuRZyNFLNtRsLi_Q";"P3kingente";;"15";"1";"5";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"7AJp1S0ZQeupMQG4oRwnhA";"RandomTM-";;"16";"1";"4";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"2_K-XAMoRUGUMVWtUygEEA";"Seanywolf";;"17";"1";"3";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"7VeNdCHaTYWrce5EYn7Ckw";"SilentSamTM";;"18";"1";"2";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"2tuvKOe1Qpu_N4yMFBn89A";"That_Ski_Freak";;"19";"1";"1";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"-zEiJKBRQlCQhShsZcS7rA";"bozbez";;"20";"1";"0";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"bn2GhrXxSEOlFgESUCZ7tw";"Eria.TM";;"21";"1";"0";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"SXQD8ktQRCSJqbgdyzSmwA";"Lina_Kitty";;"22";"1";"0";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"W-I0PnAJS4uG49LafKKe9g";"N7xyz";;"23";"1";"0";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"_KRQeGumT9S8tjKacsvKBQ";"Speedself";;"24";"1";"0";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"lVsoxs1ZR5aAYBKMZhKLnw";"Thomas_Jean";;"25";"1";"0";"-1";;"1";"2022-11-05 21:29:29";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"zdXECAYCS6WwEF51TiXL5A";"xephyr.chris";;"26";"1";"0";"-1";;"1";"2022-11-05 21:29:29";
"UZGcm5bPCQUJ4cbsvadTHqvrah6";"8hOxAJGpTVqRXb0cMbezbw";"Noiza.";;"1";"1";"129";"364525";"11751,22002,29425,34998,45380,50092,53588,64621,65827,73212,83365,90808,96412,105372,110045,113368,124256,125463,132752,142755,150152,155721,164595,169295,172608,183455,184618,191875,201972,209728,215285,224261,228915,232255,243170,244368,251705,262089,270752,276392,285262,289912,293218,304457,305622,312894,322968,330338,335868,344757,349425,352752,363511,364525";"0";"2022-11-05 21:48:43";
"UZGcm5bPCQUJ4cbsvadTHqvrah6";"pGFZWSzLQmSN4RCM_OQlhQ";"Acide.";;"2";"1";"128";"367912";"11885,22295,29718,35268,44207,48945,52525,64024,65231,72838,83152,90698,96378,105314,110028,113425,124815,126388,134498,144682,152555,158135,166954,171695,175032,185980,187141,194532,204852,212762,218782,227805,232515,235872,247052,248280,255708,265945,273452,279072,288027,292808,296155,307053,308225,315602,325818,333272,338815,347805,352505,355998,366848,367912";"0";"2022-11-05 21:48:43";
"UZGcm5bPCQUJ4cbsvadTHqvrah6";"eUoobETZQnaDzkMcunurdA";"F9.Marius89";;"3";"1";"127";"371338";"12058,22438,30135,35885,45200,50385,53878,65018,66222,74052,84398,92092,97818,106919,112032,115368,126448,127651,135412,145588,153182,158988,168002,172812,176138,187375,188568,196245,206395,214052,219908,229214,234709,238698,249784,250968,258351,268492,276012,281568,290631,295432,298792,309695,310818,318514,328952,336445,342114,351373,356108,359462,370375,371338";"0";"2022-11-05 21:48:43";
